NomeCinema;Endereco
Cinemark Barigui;Rua Professor Pedro Viriato Parigot de Souza, 600
UCI Palladium;Avenida Pres. Kennedy, 4121
Cinépolis;Avenida do Batel, 1868
Cinesystem;Avenida Mal. Floriano Peixoto, 4984
